mlb_id,name,pos
657136,Connor Wong,C
666310,Bo Naylor,C
682848,Endy Rodriguez,C
696100,Hunter Goodman,"C, OF"
666023,Freddy Fermin,C
608348,Carson Kelly,C
682663,Agustin Ramirez,C
605137,Josh Bell,1B
677800,Wilyer Abreu,OF
643376,Danny Jansen,C
516782,Starling Marte,OF
677950,Alek Thomas,OF
666158,Gavin Lux,2B
678246,Miguel Vargas,"3B, OF"
641584,Jake Fraley,OF
669065,Kyle Stowers,OF
701350,Roman Anthony,OF
643565,Mike Tauchman,OF
691277,Deyvison De Los Santos,1B
666624,Christopher Morel,"2B, 3B"
663647,Ke'Bryan Hayes,3B
678877,Jhonkensy Noel,OF
642731,Thairo Estrada,2B
573262,Mike Yastrzemski,OF
676694,Jake Meyers,OF
643396,Isiah Kiner-Falefa,"2B, 3B, SS"
608385,Jesse Winker,OF
642350,Jose Siri,OF
669720,Austin Hays,OF
669004,MJ Melendez,OF
663538,Nico Hoerner,2B
679032,Johan Rojas,OF
691783,Jordan Lawlar,SS
592178,Kris Bryant,UT
656811,Ryan O'Hearn,"1B, OF"
677008,Heston Kjerstad,OF
656976,Pavin Smith,OF
664774,LaMonte Wade Jr.,1B
676391,Ernie Clement,"3B, SS"
656537,Derek Hill,OF
666703,Eguy Rosario,3B
457705,Andrew McCutchen,UT
663368,Blake Perkins,OF
664238,Dylan Moore,"2B, 3B, SS, OF"
672012,Tyler Black,UT
666464,Jerar Encarnacion,OF
677588,Jose Tena,3B
570482,Gio Urshela,3B
665804,Miguel Amaya,C
677587,Brayan Rocchio,SS
606115,Orlando Arcia,SS
680118,Dairon Blanco,OF
681146,Jonah Bride,1B
592669,Hunter Renfroe,OF
672761,Wenceel Perez,OF
676609,Jose Caballero,"2B, 3B, SS"
666018,Jonathan Aranda,1B
687597,Jordan Beck,OF
571745,Mitch Haniger,OF
681460,Brooks Baldwin,2B
641680,Jonah Heim,C
805367,Chase Meidroth,SS
681624,Andy Pages,OF
672284,Jarred Kelenic,OF
695257,Billy Cook,OF
682668,Luisangel Acuna,SS
665052,Griffin Conine,OF
641487,J.P. Crawford,SS
595001,Josh Smith,"3B, SS"
668942,Josh Rojas,3B
665750,Leody Taveras,OF
668670,Jake Rogers,C
518595,Travis d'Arnaud,C
543309,Kyle Higashioka,C
672820,Lenyn Sosa,"2B, 3B"
694388,Joey Loperfido,OF
800050,Chase DeLauter,OF
650391,Eloy Jimenez,UT
643446,Jeff McNeil,"2B, OF"
664913,Seth Brown,"1B, OF"
621438,Tyrone Taylor,OF
689200,Jacob Melton,OF
682877,Juan Brito,2B
608701,Rob Refsnyder,OF
527038,Wilmer Flores,1B
641598,Mitch Garver,C
672695,Geraldo Perdomo,SS
663743,Nick Fortes,C
694377,Nick Yorke,2B
656541,Sam Hilliard,OF
666160,Mickey Moniak,OF
683146,Brett Baty,3B
700242,Trey Sweeney,SS
666397,Edouard Julien,2B
518934,DJ LeMahieu,"1B, 3B"
624431,Jose Trevino,C
605170,Victor Caratini,C
456781,Donovan Solano,"1B, 3B"
695336,Thomas Saggese,2B
642708,Amed Rosario,"2B, OF"
682657,Angel Martinez,OF
609280,Miguel Andujar,OF
641943,Joshua Palacios,OF
687515,Colby Thomas,OF
543877,Christian Vazquez,C
693307,Dillon Dingler,C
650559,Bryan De La Cruz,OF
669208,Ryan Bliss,2B
571657,Kyle Farmer,"2B, 3B"
no_id_Luke Keaschall,Luke Keaschall,UT
607732,Jacob Stallings,C
666152,David Hamilton,"2B, SS"
686823,Will Brennan,OF
667472,Dane Myers,OF
no_id_Jon Berti,Jon Berti,3B
686676,Korey Lee,C
596142,Gary Sanchez,C
680728,Adrian Del Castillo,C
596103,Austin Slater,OF
665923,Esteury Ruiz,OF
681807,David Fry,"C, 1B, OF"
686780,Pedro Pages,C
686948,Drake Baldwin,C
691181,Emmanuel Rodriguez,OF
676914,Davis Schneider,"2B, OF"
687093,Vaughn Grissom,2B
680700,Richie Palacios,"2B, OF"
643289,Mauricio Dubon,"1B, 2B, OF"
691011,Drew Romo,C
608596,Tom Murphy,C
543685,Anthony Rendon,3B
670223,Matt Mervis,UT
656248,Sean Bouchard,OF
669743,Alex Call,OF
500743,Miguel Rojas,SS
692225,Kristian Campbell,2B
690291,Jace Jung,3B
700250,Ben Rice,1B
682641,Luis Matos,OF
693049,Oscar Colas,OF
676113,Zach DeLoach,OF
694175,Pedro Leon,OF
682619,Orelvis Martinez,2B
679529,Spencer Torkelson,1B
666163,Ben Rortvedt,C
702332,Caleb Durbin,2B
no_id_Brandon Lockridge,Brandon Lockridge,OF
672279,Michael Siani,OF
642180,Tyler Wade,"3B, OF"
656448,Stone Garrett,OF
695657,Colson Montgomery,SS
664954,Brett Sullivan,C
687529,Grant McCray,OF
621028,Kevin Newman,"2B, SS"
668832,Kyle McCann,C
702284,Cole Young,SS
687231,Darell Hernaiz,3B
700337,Edgar Quero,C
694376,Shay Whitcomb,3B
605131,Austin Barnes,C
802415,Chandler Simpson,OF
665828,Oswaldo Cabrera,3B
672724,Oswald Peraza,3B
620443,Luis Torrens,C
687221,Dalton Rushing,C
no_id_Carlos Narvaez,Carlos Narvaez,C
668885,Austin Martin,OF
656716,Zach McKinstry,"3B, SS, OF"
682729,Jonatan Clase,OF
606992,Eric Haase,C
691781,Brady House,3B
no_id_Rafael Marchan,Rafael Marchan,C
602104,Ramon Urias,3B
670092,Trenton Brooks,1B
669289,Santiago Espinal,"2B, 3B"
656577,Alex Jackson,C
656180,Riley Adams,C
656413,Stuart Fairchild,OF
no_id_Harry Ford,Harry Ford,C
624428,Adam Frazier,"2B, OF"
683357,Owen Caissie,OF
669261,Jack Suwinski,OF
663757,Trent Grisham,OF
623168,Tyler Heineman,C
695238,Will Wagner,2B
695681,Christian Moore,2B
666181,Will Benson,OF
702176,Alan Roden,OF
no_id_Javier Sanoja,Javier Sanoja,OF
686554,Oliver Dunn,3B
642215,Weston Wilson,OF
595879,Javier Baez,SS
663853,Romy Gonzalez,"1B, 2B, SS"
642136,Matt Thaiss,C
677595,Ronny Mauricio,2B
682988,Tyler Locklear,1B
670276,Cal Stevenson,OF
676369,Nelson Velazquez,OF
671289,Tyler Freeman,OF
595978,Austin Hedges,C
669234,Justyn-Henry Malloy,OF
677942,Blaze Alexander,SS
621035,Chris Taylor,"2B, 3B, OF"
691723,Coby Mayo,3B
666211,Taylor Trammell,OF
691019,Kyle Teel,C
596117,Garrett Stubbs,C
694208,Moises Ballesteros,C
680779,Henry Davis,C
681546,James Outman,OF
no_id_Jair Camargo,Jair Camargo,C
687957,Dustin Harris,OF
624641,Edmundo Sosa,"2B, 3B, SS"
682634,Kevin Alcantara,OF
686894,Joey Wiemer,OF
686527,Dominic Canzone,OF
660766,Juan Yepez,1B
