id,name,position,team,conference,gs,rp,ip,cg,sho,win,save,era,k_allowed,whip,qs,loss,hold,bf,er,hit_allowed,single_allowed,double_allowed,triple_allowed,homerun_allowed,out_allowed,bb_allowed,hbp_allowed,k9_allowed,kbb_allowed,gp,k_per_9,k_per_bb,fpts,ppg,pa,ab,k,bb,hbp,ibb,single,double,triple,homerun,avg,obp,slg,ops,woba,sh,sf,run,rbi,sb,cs,hit,tb,bb_per_k,sold,points_rank,summarized_pos_cut_rank,vdp_score,vdp_rank,vdp_score_norm_initial,value
13312,Logan Webb,SP,SF,NL,31.4576666666667,0.0,194.492405277615,0.742119022529071,0.421693925856453,13.1652986118973,0.0,3.39531430412232,175.957533305389,1.20488301862211,18.8647473920206,9.85164366744364,0.0,826.115333333333,73.3736495202489,187.321309963682,131.700098527552,36.1935872402567,3.57602773762195,15.8515964582516,583.477215832845,47.0192864062859,8.29752113052105,8.14231176527473,3.74224167897763,31.4576666666667,8.142311765274707,3.7422416789776216,457.338645399152,14.538225299582027,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,105.0,1.2153440593814306,12.0,3.685062902056096,21.1
12499,José Berríos,SP,TOR,AL,30.8692313436995,0.0,181.799469102413,0.372064776133963,0.211427935525679,10.773924484024,0.0,4.45228869169612,162.850903348707,1.31892691487922,15.8530444540805,11.3687074920424,0.0,794.835666666667,89.9359689378924,185.056949696083,116.957590153295,37.9361409304807,3.10513205958096,27.0580865527256,545.398407307239,54.7232632138434,9.65704644950179,8.06194945108841,2.97589898307655,30.8692313436995,8.06194945108841,2.9758989830765508,353.2407067743788,11.443132575650486,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.0,105.0,-0.9785713349647596,70.0,0.6450227124707009,4.5
12503,Kevin Gausman,SP,TOR,AL,30.8255987573183,0.0,181.002243410246,0.687370779495258,0.3906027261836,11.0730842124843,0.0,4.25347983923132,166.887330281205,1.29258537064286,16.1245906512639,10.9678250637557,0.0,786.772,85.5432659112359,178.402483878341,113.02754806779,37.5299973250852,2.99185715936779,24.8530813260984,543.006730230738,55.5583680072815,9.80441788363791,8.29816218977218,3.00381987929043,30.8255987573183,8.298162189772187,3.003819879290419,371.2851820787544,12.04470300809997,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.0,105.0,-0.5604083636410091,55.0,1.0631856837944513,6.8
13213,Seth Lugo,SP,KC,AL,29.8560560171008,0.1875,180.337532669576,0.434680914249236,0.247001274854505,11.7891376908058,0.0,4.14866769746793,163.126544798313,1.27977731469851,16.1174876822569,11.0312512964152,0.0,780.261333333333,83.1289440474821,182.869721822072,119.567315203015,37.0659238326128,3.58745355027648,22.6490292361678,541.012598008728,47.9221614771528,8.45685202537991,8.14106127244636,3.40398971519856,29.8560560171008,8.141061272446368,3.4039897151985654,377.8241975576868,12.65485961512393,,,,,,,,,,,,,,,,,,,,,,,,,0.0,42.0,105.0,-0.3017653804514865,49.0,1.3218286669839738,8.2
13398,Zack Wheeler,SP,PHI,NL,31.3396666666667,0.0,190.97886919793,0.108476388107218,0.0616624325126925,13.8119491072471,0.0,3.32073812138344,215.866832804113,1.10267374107041,18.4932874757776,8.93947065333047,0.0,792.159333333333,70.4656457026963,161.653781901769,105.252422656647,31.516191841885,2.90047206226772,21.9846953409692,572.9366075937901,48.9336022621088,8.63534157566625,10.1728610259154,4.41142329248193,31.3396666666667,10.172861025915397,4.411423292481925,520.1564594721152,16.59738327802193,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,105.0,2.3673778045536396,4.0,5.640899093028796,31.8
12290,Logan Gilbert,SP,SEA,AL,31.5943333333333,0.0,196.540117530907,0.595444520990482,0.338429594695451,13.1141342809192,0.0,3.36061358366486,233.077525142836,1.05602490318164,18.7137642496301,9.8840874669903,0.0,804.463,73.3883765232728,166.233388604656,107.741761809302,31.6992390307569,2.54736918967176,24.2450185749253,589.620352592721,41.3178699822291,7.29138882039336,10.6731274644508,5.64108278677201,31.5943333333333,10.673127464450864,5.641082786771998,547.0546717876416,17.314961705822,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,105.0,2.6635015959038895,3.0,6.168846526991078,34.7
12773,Pablo López,SP,MIN,AL,31.4576666666667,0.0,181.20819710852,0.233979520293133,0.132970932910951,11.5150430624479,0.0,3.86347707548266,186.206818502855,1.26884630827592,16.1902968256215,10.7937643106564,0.0,782.925666666667,77.7881906020344,176.796252603589,115.100894534518,34.3586756265755,3.16941197836259,24.1672704641326,543.62459132556,53.1290993268913,9.37572341062788,9.24826466609607,3.50479908114321,31.4576666666667,9.248264666096054,3.5047990811432106,413.4199350685534,13.142104258693259,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.0,105.0,0.21673645868298708,34.0,2.1434817072785917,12.7
13069,Corbin Burnes,SP,AZ,NL,30.6649560018752,0.0,186.717336385181,0.0858757775680729,0.0488124757041058,12.8002978998295,0.0,3.66613746307593,206.275913513728,1.17807944028976,17.6293033198867,9.30915046721191,0.0,789.668666666667,76.0590468808293,165.857975043971,110.689629037255,32.2796440775117,3.32033268845536,19.5683692407489,560.152009155543,54.1098800970784,9.54880237007266,9.94274692197726,3.81216726305158,30.6649560018752,9.942746921977264,3.81216726305157,471.14376116554,15.364240572747894,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,105.0,1.329433177562975,11.0,3.871099316038132,22.1
12541,Gerrit Cole,SP,NYY,AL,29.0628771097605,0.0,173.219064208739,0.430465513749903,0.244591791499565,11.3933067839766,0.0,4.00540067434637,173.505053905587,1.23659559413908,15.4943793259916,9.83096107725808,0.0,743.092,77.0901951768144,161.882302358038,102.216882543363,32.1536464508376,2.75202154025854,24.7597518235787,519.657192626217,52.3196292633837,9.23287575236183,9.01485926092135,3.31625159330048,29.0628771097605,9.014859260921364,3.3162515933004872,393.1397652606131,13.527214245714879,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.0,105.0,0.07790946799117648,39.0,1.9433054264806506,11.6
12737,Tarik Skubal,SP,DET,AL,31.2036373649147,0.0,189.107407936486,0.16023146959296,0.0910778651036025,13.5266698038655,0.0,2.88712995664195,233.081399061792,1.02954351318761,18.1814489641931,8.82628671449863,0.0,769.478,60.6641847195932,152.412635831802,100.680017698764,29.7654052168132,2.62247025266394,19.3447426635612,567.322223809458,42.2816693049295,7.46147105381109,11.0928102417896,5.5125874378526,31.2036373649147,11.092810241789559,5.512587437852595,565.540967118525,18.124200089391437,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,105.0,3.2773182116531547,1.0,7.291991592868271,40.8
