mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa
518692,Freddie Freeman,LAD,102.30912,38.06712,2.223072,25.12576,9.296,102.256,100.264,2.6279323,106.24,77.688,0.286068,0.0886457,0.3698875,7.3519207,664
656941,Kyle Schwarber,PHI,66.882114,22.046076,0,42.3657,4.641,100.776,90.168,1.5177697,196.248,92.157,0.23,0.0711642,0.3552404,7.5222314,663
623993,Anthony Santander,TOR,75.48255,34.77435,1.145664,36.016812,3.978,84.864,100.113,0.9528799,135.915,55.029,0.2424776,0.0750249,0.3351219,6.7926099,663
592450,Aaron Judge,NYY,76.2624,27.933752,0.491866,53.110274,5.958,112.54,114.526,2.0111211,176.754,107.906,0.2847861,0.0879827,0.4296021,10.4242553,662
666182,Bo Bichette,TOR,115.17264,35.362839,2.85552,21.943878,7.932,88.574,80.642,2.7567662,125.59,43.626,0.2840011,0.0876076,0.3396495,5.7998249,661
686469,Vinnie Pasquantino,KC,102.295252,39.325825,2.686743,21.9447,0.659,85.011,100.168,0.628958,87.647,61.287,0.2781477,0.0855423,0.34916,5.4352849,659
650333,Luis Arraez,SD,150.325542,32.831604,2.605005,6.108129,7.884,83.439,57.816,2.3360899,36.135,33.507,0.3077345,0.0943543,0.3245491,3.608425,657
680574,Matt McLain,CIN,86.176944,35.80434,3.33198,25.32369,22.47,82.818,85.386,5.7209153,169.488,60.348,0.2589812,0.0775932,0.3405196,7.3783302,642
592518,Manny Machado,SD,95.340416,34.042464,1.040416,33.204752,7.6096,89.872,97.088,2.2538749,124.64,57.072,0.2732015,0.0836387,0.3573647,7.2798734,656
671732,Lawrence Butler,ATH,89.08,31.44,2.62,28.165,18.34,88.425,72.05,4.1939626,153.925,51.745,0.2508143,0.076668,0.327232,6.9050564,655
694671,Wyatt Langford,TEX,95.033295,33.60412,3.79638,25.955685,20.96,83.185,85.15,5.419462,127.725,69.43,0.2704877,0.0826816,0.3542182,7.4474707,655
671739,Michael Harris II,ATL,111.194104,33.497464,3.1255,26.897066,22.372,95.41,80.934,4.956226,130.942,37.506,0.2815726,0.0864642,0.3415882,8.0704852,658
661388,William Contreras,MIL,97.745232,33.919648,1.901232,27.17047,5.868,85.412,90.628,2.0612798,131.052,73.676,0.2779352,0.084569,0.3638286,6.1905604,652
665833,Oneil Cruz,PIT,91.595568,32.268132,3.485592,28.223124,26.732,84.108,89.976,5.2953429,189.732,59.984,0.2627841,0.0799589,0.3447812,8.400646,652
608324,Alex Bregman,FA,95.844,34.556,2.4124,24.3196,2.608,84.5644,80.5872,1.0979922,82.804,70.416,0.2701794,0.0822091,0.3514555,5.1233094,652
682985,Riley Greene,DET,94.58379,29.250732,4.769226,26.810784,5.208,82.677,85.932,2.0265485,162.75,72.912,0.2688423,0.0816768,0.3561657,5.7474349,651
695578,James Wood,WAS,98.623245,30.015657,3.597426,20.9247675,22.785,87.234,78.12,6.3895155,174.468,70.959,0.2640522,0.0802215,0.3400751,6.9847274,651
667670,Brent Rooker,ATH,79.95,29.25,1.95,37.245,8.125,84.5,89.05,2.4612373,193.7,59.8,0.2514317,0.07627,0.3481572,7.0481121,650
502671,Paul Goldschmidt,NYY,89.57952,32.314464,1.444392,26.349624,7.128,85.536,88.776,1.9196688,173.016,57.672,0.2535675,0.0766812,0.3310317,5.928361,648
592206,Nick Castellanos,PHI,98.541982,34.169364,3.6261115,20.947272,4.529,76.993,85.404,1.9405021,155.28,38.173,0.2583406,0.0780041,0.3149233,4.7891563,647
701538,Jackson Merrill,SD,102.927348,35.440719,4.617639,27.0682155,13.587,89.286,87.992,4.1004178,116.46,35.585,0.2781317,0.0839798,0.3419321,7.058093,647
647304,Josh Naylor,ARI,94.791456,36.28905,0,25.178496,5.814,79.458,96.254,2.3548715,94.316,56.202,0.2649365,0.079872,0.3381095,5.8284815,646
